t,drone_x,drone_y,drone_z,drone_vel_x,drone_vel_y,drone_vel_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_vel_x,flower_vel_y,flower_vel_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
21.204000,-0.001534,-0.004291,1.073493,-0.000012,0.000017,-0.041487,-0.000033,0.000001,1.570799,0.541032,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.542566,1.004291,0.026507,1.141789
21.206000,-0.001534,-0.004291,1.073410,-0.000013,0.000017,-0.041474,-0.000032,0.000001,1.570799,0.539905,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.541439,1.004291,0.026590,1.141256
21.208000,-0.001534,-0.004291,1.073327,-0.000014,0.000017,-0.041462,-0.000032,0.000000,1.570799,0.538769,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.540303,1.004291,0.026673,1.140719
21.210000,-0.001534,-0.004291,1.073244,-0.000014,0.000017,-0.041449,-0.000031,-0.000000,1.570799,0.537623,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.539157,1.004291,0.026756,1.140178
21.212000,-0.001534,-0.004291,1.073161,-0.000015,0.000017,-0.041436,-0.000030,-0.000000,1.570798,0.536468,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.538001,1.004291,0.026839,1.139635
21.214000,-0.001534,-0.004291,1.073078,-0.000015,0.000017,-0.041424,-0.000029,-0.000001,1.570798,0.535303,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.536837,1.004291,0.026922,1.139087
21.216000,-0.001534,-0.004291,1.072995,-0.000016,0.000017,-0.041411,-0.000028,-0.000001,1.570798,0.534129,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.535663,1.004291,0.027005,1.138536
21.218000,-0.001534,-0.004291,1.072912,-0.000016,0.000017,-0.041398,-0.000027,-0.000001,1.570798,0.532946,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.534480,1.004291,0.027088,1.137982
21.220000,-0.001534,-0.004291,1.072829,-0.000017,0.000017,-0.041385,-0.000026,-0.000002,1.570798,0.531754,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.533287,1.004291,0.027171,1.137424
21.222000,-0.001534,-0.004291,1.072746,-0.000017,0.000017,-0.041368,-0.000025,-0.000002,1.570798,0.530552,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.532086,1.004291,0.027254,1.136864
